t,max_depth,n_estimators,accuracy,score,selected_features
16,3,100,0.689,3689.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
16,3,200,0.667,3470.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245]"
17,2,100,0.712,3720.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,2,200,0.698,3579.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,3,100,0.687,3470.000000000001,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
17,3,200,0.682,3420.000000000001,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298]"
18,2,100,0.708,3480.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,2,200,0.701,3410.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,3,100,0.686,3260.000000000001,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
18,3,200,0.685,3250.000000000001,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151]"
19,2,100,0.707,3270.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151, 494]"
19,2,200,0.695,3149.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151, 494]"
19,3,100,0.684,3040.000000000001,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151, 494]"
19,3,200,0.671,2910.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151, 494]"
20,2,100,0.713,3130.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151, 494, 238]"
20,2,200,0.703,3030.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151, 494, 238]"
20,3,100,0.693,2929.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151, 494, 238]"
20,3,200,0.67,2700.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9, 0, 425, 228, 385, 245, 298, 151, 494, 238]"
