t,kernel,C,accuracy,score_among_top_20_percent,selected_features
12,linear,10.0,0.681,4400.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314]"
12,rbf,0.1,0.699,4499.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314]"
12,rbf,1.0,0.697,4450.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314]"
12,rbf,10.0,0.694,4499.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314]"
13,linear,0.1,0.672,4400.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140]"
13,linear,1.0,0.675,4349.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140]"
13,linear,10.0,0.676,4400.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140]"
13,rbf,0.1,0.697,4299.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140]"
13,rbf,1.0,0.694,4299.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140]"
13,rbf,10.0,0.691,4299.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140]"
14,linear,0.1,0.672,4200.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462]"
14,linear,1.0,0.674,4200.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462]"
14,linear,10.0,0.673,4149.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462]"
14,rbf,0.1,0.701,4050.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462]"
14,rbf,1.0,0.704,4149.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462]"
14,rbf,10.0,0.7,4200.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462]"
15,linear,0.1,0.668,4000.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180]"
15,linear,1.0,0.668,3899.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180]"
15,linear,10.0,0.668,3899.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180]"
15,rbf,0.1,0.703,3850.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180]"
15,rbf,1.0,0.7,3800.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180]"
15,rbf,10.0,0.7,4050.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180]"
16,linear,0.1,0.678,3800.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133]"
16,linear,1.0,0.678,3800.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133]"
16,linear,10.0,0.678,3800.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133]"
16,rbf,0.1,0.697,3600.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133]"
16,rbf,1.0,0.697,3650.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133]"
16,rbf,10.0,0.693,3749.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133]"
17,linear,0.1,0.668,3549.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414]"
17,linear,1.0,0.667,3600.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414]"
17,linear,10.0,0.666,3600.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414]"
17,rbf,0.1,0.7,3350.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414]"
17,rbf,1.0,0.699,3450.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414]"
17,rbf,10.0,0.698,3499.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414]"
18,linear,0.1,0.671,3450.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41]"
18,linear,1.0,0.668,3450.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41]"
18,linear,10.0,0.668,3450.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41]"
18,rbf,0.1,0.702,3200.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41]"
18,rbf,1.0,0.699,3299.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41]"
18,rbf,10.0,0.699,3349.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41]"
19,linear,0.1,0.669,3250.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41, 359]"
19,linear,1.0,0.67,3300.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41, 359]"
19,linear,10.0,0.669,3300.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41, 359]"
19,rbf,0.1,0.701,3000.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41, 359]"
19,rbf,1.0,0.701,3050.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41, 359]"
19,rbf,10.0,0.699,3099.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41, 359]"
20,linear,0.1,0.668,3100.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41, 359, 336]"
20,linear,1.0,0.67,3100.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41, 359, 336]"
20,linear,10.0,0.669,3100.0,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41, 359, 336]"
20,rbf,0.1,0.702,2800.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41, 359, 336]"
20,rbf,1.0,0.702,2850.000000000001,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41, 359, 336]"
20,rbf,10.0,0.699,2949.999999999999,"[339, 351, 344, 356, 395, 318, 146, 330, 2, 92, 127, 314, 140, 462, 180, 133, 414, 41, 359, 336]"
