Variable,Cohen d-score (w/o abs value)
2,0.8285489489982716
3,0.7393401742174734
6,0.7355908089759842
7,0.6778864180034473
4,0.6689980023389176
8,0.6568704737485097
5,0.639523509100384
0,0.6284353324074926
1,0.6077112208593646
9,0.5966070421180006
414,0.48826845742916153
462,0.46381829605677694
425,0.4542985207150536
356,0.08995000904037569
330,0.0800735818198508
180,0.07605253910728756
133,0.07512271980730476
76,0.0722054525294633
237,0.07204230593200803
215,0.06974800916745122
146,0.06734784335347217
346,0.06656498635933954
150,0.0626320036204551
463,0.06196822164894146
440,0.06084127004268268
443,0.060330542310899536
158,0.06000242831508205
366,0.059922815275145355
402,0.05931808991536396
459,0.05901966632410978
473,0.05868204928516857
55,0.058132906881739374
231,0.05732157369438144
109,0.056928422431012655
47,0.055871096128828665
446,0.055076604237178195
77,0.05478767757829627
44,0.054644472739857244
422,0.05440233501682804
300,0.054288863719250915
421,0.05332617297828409
30,0.0533157344501205
274,0.05324767631427748
401,0.05114860134609377
217,0.050463865187267275
170,0.050106796712300755
262,0.04938403232615275
494,0.04883576427616712
332,0.04852780862282889
445,0.04839909819127501
355,0.047788029962266554
267,0.04723991367935098
127,0.04656028117164958
283,0.045906215078582606
253,0.04569726577303168
198,0.044844373661893415
92,0.04435753567795274
99,0.04354146381011448
219,0.04328176704046191
124,0.04319854966866141
372,0.04314793912087593
241,0.04183162063871536
71,0.04132510812864662
345,0.041268337156606605
439,0.041220983967780365
429,0.04108695111802658
399,0.04073686894358177
488,0.040314381567053706
183,0.04026968734202703
365,0.04011498032500639
410,0.040068598505006305
137,0.03997345439051872
499,0.03977143755357047
275,0.039611105583138226
114,0.03956368321380744
249,0.039445784146859696
163,0.03890509952851358
189,0.038721953823773025
105,0.038610655327421466
171,0.038512052038217996
312,0.03839723697812111
436,0.03837233764543122
272,0.03799192535157474
14,0.03657640502106593
315,0.03655446720063261
301,0.03567032906198186
191,0.03563223119598369
202,0.03549183428502541
134,0.03546091700490684
157,0.034957071208582206
79,0.03486077711261369
81,0.034651106159299956
88,0.03397614363594675
465,0.033914942730562996
380,0.033706093042185324
36,0.03365427240485667
199,0.03347920866375289
415,0.033277958530723975
129,0.0329549345867453
257,0.03261806481552661
31,0.03214398304282853
221,0.0321019136709859
62,0.03203061105724388
184,0.031643195219630015
269,0.031552867311084545
444,0.03129514109733099
411,0.03125860789889217
491,0.031082602095577894
437,0.030725631058953564
478,0.030689828363013698
19,0.029872448396783005
251,0.029732506395709922
208,0.028511633895827244
389,0.028362044841335338
16,0.02805629173102859
329,0.027923133665079335
181,0.027920250225751495
427,0.02779739633402235
123,0.02733447276319461
298,0.02720564864576584
438,0.0268013356888284
83,0.026708794834148654
148,0.026575351865827115
280,0.02636200944035573
213,0.026157821429267925
313,0.02567897509801817
271,0.025599234610916444
489,0.025415609531626693
113,0.024997204818490534
190,0.024953609346306627
187,0.024864434826409425
310,0.024750880853581028
368,0.024560900470635014
392,0.02406095098670537
487,0.02389030131778012
246,0.0237234915228387
22,0.023544991481318556
26,0.02307571660158527
417,0.02302903324181263
108,0.022647629199411
259,0.022617559932163495
93,0.02261152097431344
27,0.0225994262813082
263,0.022497148235514623
12,0.021089931316122603
471,0.0209940823893734
220,0.02068108115169865
216,0.02028261053102093
101,0.02002836829977767
357,0.01992024787768506
13,0.019803075841764436
369,0.019758575549041403
211,0.019746124835205246
119,0.01932339028644791
65,0.019322382155774136
207,0.019296405168859894
205,0.019276232911799886
353,0.01917660533844159
428,0.018507488819937593
104,0.01823460740360299
404,0.01817962979599508
320,0.01782397933240895
