t,penalty,C,accuracy,score_among_top_20_percent,selected_features
6,l2,1000.0,0.697,5800.0,"[2, 3, 6, 4, 5, 8]"
7,l1,0.001,0.488,5499.999999999999,"[2, 3, 6, 4, 5, 8, 7]"
7,l1,0.01,0.685,5700.0,"[2, 3, 6, 4, 5, 8, 7]"
7,l1,0.1,0.698,5600.0,"[2, 3, 6, 4, 5, 8, 7]"
7,l1,1.0,0.695,5650.0,"[2, 3, 6, 4, 5, 8, 7]"
7,l1,10.0,0.695,5650.0,"[2, 3, 6, 4, 5, 8, 7]"
7,l1,100.0,0.695,5650.0,"[2, 3, 6, 4, 5, 8, 7]"
7,l1,1000.0,0.695,5650.0,"[2, 3, 6, 4, 5, 8, 7]"
7,l2,0.001,0.559,5300.0,"[2, 3, 6, 4, 5, 8, 7]"
7,l2,0.01,0.649,5400.000000000001,"[2, 3, 6, 4, 5, 8, 7]"
7,l2,0.1,0.686,5650.0,"[2, 3, 6, 4, 5, 8, 7]"
7,l2,1.0,0.696,5650.0,"[2, 3, 6, 4, 5, 8, 7]"
7,l2,10.0,0.695,5650.0,"[2, 3, 6, 4, 5, 8, 7]"
7,l2,100.0,0.695,5650.0,"[2, 3, 6, 4, 5, 8, 7]"
7,l2,1000.0,0.695,5650.0,"[2, 3, 6, 4, 5, 8, 7]"
8,l1,0.001,0.488,5299.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,l1,0.01,0.684,5500.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,l1,0.1,0.698,5400.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,l1,1.0,0.694,5400.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,l1,10.0,0.695,5400.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,l1,100.0,0.697,5400.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,l1,1000.0,0.697,5400.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,l2,0.001,0.555,5000.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,l2,0.01,0.65,5200.000000000001,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,l2,0.1,0.692,5500.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,l2,1.0,0.695,5400.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,l2,10.0,0.697,5400.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,l2,100.0,0.697,5400.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
8,l2,1000.0,0.697,5400.0,"[2, 3, 6, 4, 5, 8, 7, 1]"
9,l1,0.001,0.488,5099.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,l1,0.01,0.682,5200.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,l1,0.1,0.698,5200.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,l1,1.0,0.692,5200.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,l1,10.0,0.694,5200.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,l1,100.0,0.693,5200.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,l1,1000.0,0.693,5200.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,l2,0.001,0.559,4850.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,l2,0.01,0.658,5149.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,l2,0.1,0.686,5400.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,l2,1.0,0.695,5250.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,l2,10.0,0.696,5200.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,l2,100.0,0.696,5200.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
9,l2,1000.0,0.696,5200.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414]"
10,l1,0.001,0.488,4899.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,l1,0.01,0.692,5000.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,l1,0.1,0.694,5100.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,l1,1.0,0.694,5150.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,l1,10.0,0.697,5150.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,l1,100.0,0.697,5150.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,l1,1000.0,0.697,5150.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,l2,0.001,0.556,4450.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,l2,0.01,0.651,5050.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,l2,0.1,0.69,5100.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,l2,1.0,0.695,5150.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,l2,10.0,0.697,5150.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,l2,100.0,0.697,5150.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
10,l2,1000.0,0.697,5150.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462]"
11,l1,0.001,0.488,4699.999999999999,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,l1,0.01,0.692,4800.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,l1,0.1,0.694,4900.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,l1,1.0,0.695,4950.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,l1,10.0,0.698,4950.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
11,l1,100.0,0.698,4950.0,"[2, 3, 6, 4, 5, 8, 7, 1, 414, 462, 9]"
